Year,Month,Longitude,Latitude
2016.0,3.0,74.337993,32.7674322
2015.0,10.0,-80.0996306,26.318342
2015.0,10.0,-157.8285713,21.2793568
2015.0,9.0,-81.2928499,29.9188576
2015.0,8.0,123.9450935,10.3323968
2015.0,6.0,-81.3931396,30.2946859
2015.0,6.0,9.737825273412698,52.37745845
2015.0,5.0,-79.83133553033889,32.770151
2015.0,4.0,150.22642811564947,-35.8043335
2015.0,1.0,-13.285824,8.488129
2014.0,7.0,-77.8580398,34.1254492
2014.0,5.0,-81.3931396,30.2946859
2013.0,2.0,174.4387813,-36.8249997
2012.0,12.0,-159.55876775017003,22.050466550000003
2012.0,7.0,-113.955069,51.076288
2012.0,4.0,-82.1137049,26.440359
2012.0,3.0,-80.65060425561052,28.68150735
2011.0,9.0,-80.9271271,29.0258132
2011.0,9.0,-80.9271271,29.0258132
2011.0,6.0,-86.4484336,16.3608168
2010.0,7.0,-94.7933252,29.3056996
2010.0,2.0,76.24243744599272,9.96377465
2010.0,1.0,144.3598004,-38.1493084
2022.0,7.0,-80.52662,28.45077
2022.0,2.0,121.961495,-33.830379
2022.0,1.0,170.97264036518098,-45.1053227
2022.0,1.0,115.3275614,-31.0067153
2021.0,7.0,-77.7955907,34.2079917
2021.0,7.0,-82.731589,35.232996
2021.0,6.0,-81.417579,28.514603
2021.0,4.0,30.9694876,-29.5866542
2020.0,10.0,-122.941904,48.463065
2020.0,9.0,-80.5603303,28.0683496
2020.0,8.0,-77.57412315290213,34.46505775
2020.0,7.0,-80.6102592,28.3194741
2020.0,6.0,-64.679527,18.347155
2019.0,11.0,-117.5736037,33.3803575
2019.0,5.0,178.12285193309967,-18.3911869
2019.0,2.0,-118.01402959047437,33.6976193
2018.0,7.0,-80.38655100915688,25.12917345
2018.0,6.0,153.6079901360164,-28.8429552
2018.0,4.0,114.9859179,-33.976757
2018.0,4.0,23.371219141913983,-34.080205
2017.0,9.0,-97.3327459,32.753177
2017.0,9.0,137.8567153,34.7691864
