Year,Month,Longitude,Latitude,SST_Celsius,Population,SharkDensity
2016.0,10.0,-81.41534028069897,30.38425255,21.8,279668,0.0
2016.0,10.0,153.1408585072595,-26.80463215,19.9,447692,0.0566037735849056
2016.0,9.0,-158.214426,21.461657,24.2,30661,0.2075471698113207
2016.0,6.0,-81.1269982,29.4749927,21.8,279668,0.0188679245283018
2016.0,6.0,153.5761111,-28.2566667,19.6,447692,0.0
2016.0,3.0,-81.948145,26.4520248,16.3,2136468,0.0566037735849056
2015.0,10.0,-83.674656,41.078792,21.8,5206593,0.0
2015.0,7.0,-81.0228331,29.2108147,23.3,279668,0.0377358490566037
2014.0,10.0,-80.9271271,29.0258132,21.8,279668,0.0377358490566037
2014.0,6.0,-80.330419,32.558715,21.8,5206593,0.0
2013.0,11.0,-80.4970188,27.9462734,19.8,279668,0.0377358490566037
2013.0,9.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2013.0,8.0,-100.449271,25.664959,23.8,21580827,0.0
2013.0,8.0,-82.1137049,26.440359,23.8,2136468,0.0566037735849056
2013.0,7.0,145.017809,-38.47098,15.1,447692,0.0
2013.0,5.0,100.0615581745176,9.49051135,27.3,10156316,0.0
2013.0,1.0,25.59940872903608,-33.93779205,21.3,201851,0.0
2012.0,12.0,121.49089601107625,22.6562977,21.1,2705791,0.0
2012.0,10.0,-156.44189366786708,20.89977655,22.7,0,0.0
2012.0,9.0,-80.9271271,29.0258132,23.3,279668,0.0377358490566037
2012.0,9.0,-81.27149,29.844949,23.3,279668,0.0
2012.0,9.0,-156.40801376699957,20.9089792,24.2,0,0.0
2012.0,5.0,-118.327082,33.345158,14.1,21580827,0.0188679245283018
2012.0,2.0,152.32007141302046,-32.617282,24.1,447692,0.0754716981132075
2011.0,12.0,151.2456824,-33.9453441,21.8,447692,0.0188679245283018
2011.0,2.0,-53.2212114,3.6240135,23.8,57506,0.0
2010.0,1.0,109.232667,13.770409,22.3,1952329,0.0
2010.0,1.0,109.232667,13.770409,22.3,1952329,0.0
2022.0,9.0,-70.385003,43.466709,12.5,1363159,0.0
2022.0,7.0,1.717042,52.418576,14.5,9046485,0.0
2022.0,3.0,-89.253418,37.5314386,16.3,5206593,0.0
2022.0,2.0,107.06400184790972,20.7609394,19.7,4282738,0.0
2021.0,1.0,175.943247,-37.4117888,22.4,411346,0.0754716981132075
2020.0,12.0,-123.9395774262978,45.9758952,8.2,1363159,0.0188679245283018
